entity_id,friendly_name,domain,platform,device_name,manufacturer,model,area,disabled,hidden
automation.entry_room_lamp_off_after_no_motion,Entry Room Lamp - Off After 10min No Motion,automation,automation,,,,,,
automation.entry_room_lamp_off_when_everyone_leaves,Entry Room Lamp - Off When Everyone Leaves,automation,automation,,,,,,
automation.everyone_away_all_lights_off,Everyone Away → All Lights Off,automation,automation,,,,,,
automation.extended_evening_auto_clear_at_4am,Extended Evening - Auto Clear at 4am,automation,automation,,,,,,
automation.extended_evening_auto_set_for_weekends_holidays,Extended Evening - Auto Set for Weekends/Holidays,automation,automation,,,,,,
automation.family_alaina_arrived_home,Family → Alaina Arrived Home,automation,automation,,,,,,
automation.family_alaina_left_for_activity,Family → Alaina Left for Activity,automation,automation,,,,,,
automation.family_daily_reset,Family → Daily Reset,automation,automation,,,,,,
automation.family_ella_arrived_home,Family → Ella Arrived Home,automation,automation,,,,,,
automation.family_ella_left_for_activity,Family → Ella Left for Activity,automation,automation,,,,,,
automation.family_increment_grades_new_school_year,Family → Increment Grades (New School Year),automation,automation,,,,,,
automation.first_person_home_after_dark_entry_lights_on,First Person Home After Dark → Entry Lights On,automation,automation,,,,,,
automation.garage_all_lights_off,Garage All Lights OFF,automation,automation,,,,,,
automation.garage_all_lights_off_2,Garage All Lights OFF,automation,automation,,,,,,
automation.garage_all_lights_on,Garage All Lights ON,automation,automation,,,,,,
automation.garage_approaching_home_open_notification,Garage - Approaching Home Open Notification,automation,automation,,,,,,
automation.garage_clear_close_notification_when_closed,Garage - Clear North Close When Closed,automation,automation,,,,,,
automation.garage_clear_quick_open_when_door_opens,Garage - Clear Quick Open When Door Opens,automation,automation,,,,,,
automation.garage_clear_quick_open_when_door_opens_2,Garage - Clear Quick Open When Door Opens,automation,automation,,,,,,
automation.garage_clear_south_close_notification_when_closed,Garage - Clear South Close When Closed,automation,automation,,,,,,
automation.garage_door_alert_action_handler,Garage Door - Alert Action Handler,automation,automation,,,,,,
automation.garage_door_closed_clear_notification,Garage Door Closed - Clear Notification,automation,automation,,,,,,
automation.garage_door_handle_notification_actions,Garage Door Notification Actions,automation,automation,,,,,,
automation.garage_door_left_open_reminder_notification,Garage Door Left Open - Reminder,automation,automation,,,,,,
automation.garage_door_opened_close_option,Garage Door Opened - Close Option,automation,automation,,,,,,
automation.garage_door_opened_close_prompt,Garage Door Opened - Close Prompt,automation,automation,,,,,,
automation.garage_door_opened_handle_actions,Garage Door Opened - Handle Actions,automation,automation,,,,,,
automation.garage_door_reset_snooze_on_close,Garage Door - Reset Snooze on Close,automation,automation,,,,,,
automation.garage_north_close_action_handler,Garage - North Close Action Handler,automation,automation,,,,,,
automation.garage_north_door_opened_close_option,Garage - North Door Opened Close Option,automation,automation,,,,,,
automation.garage_quick_open_action_handler,Garage - Quick Open Action Handler,automation,automation,,,,,,
automation.garage_quick_open_north_action_handler,Garage - Quick Open North Action Handler,automation,automation,,,,,,
automation.garage_quick_open_north_door_notification,Garage - Quick Open North Door Notification,automation,automation,,,,,,
automation.garage_south_close_action_handler,Garage - South Close Action Handler,automation,automation,,,,,,
automation.garage_south_door_opened_close_option,Garage - South Door Opened Close Option,automation,automation,,,,,,
automation.garage_walk_in_door_quick_open,Garage - Walk-in Door Quick Open,automation,automation,,,,,,
automation.global_all_adaptive_lamps_off_when_everyone_leaves,Global - All Adaptive Lamps Off When Everyone Leaves,automation,automation,,,,,,
automation.hot_tub_mode_auto_off_when_back_inside,Hot Tub Mode - Auto Off When Back Inside,automation,automation,,,,,,
automation.hot_tub_mode_auto_reset_at_3am,Hot Tub Mode - Auto Reset at 3am,automation,automation,,,,,,
automation.hot_tub_mode_handle_notification_actions,Hot Tub Mode - Handle Notification Actions,automation,automation,,,,,,
