sheet,priority,category,entity_id,friendly_name,type,platform,manufacturer,area,status,action_needed,notes
Issues,HIGH,Sensor missing area,binary_sensor.upstairs_hallway_motion,Upstairs Hallway Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.upstairs_motion,Upstairs Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.ai_theta_last_motion_detected,Last motion detected,Sensor,unifiprotect,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.aqara_temp_humidity_sensor_temperature_3,Temperature,Sensor,matter,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.aqara_temp_humidity_sensor_temperature_7,Temperature,Sensor,matter,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.g6_bullet_last_motion_detected,Last motion detected,Sensor,unifiprotect,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.house_average_temperature,House Average Temperature,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.john_s_phone_battery_temperature,John's Phone Battery temperature,Sensor,mobile_app,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.kitchen_samsung_tablet_wall_mount_battery_temperature,Kitchen Samsung Tablet Wall Mount Battery temperature,Sensor,mobile_app,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.lumi_lumi_sensor_wleak_aq1_device_temperature,Device temperature,Sensor,zha,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.outside_temperature,Outside Temperature,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.udm_pro_cpu_temperature,CPU temperature,Sensor,unifiprotect,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.udm_pro_udm_pro_cpu_temperature,UDM PRO CPU Temperature,Sensor,unifi,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.udm_pro_udm_pro_local_temperature,UDM PRO Local Temperature,Sensor,unifi,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.udm_pro_udm_pro_phy_temperature,UDM PRO PHY Temperature,Sensor,unifi,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.upstairs_bathroom_echo_plus_temperature_2,Upstairs Bathroom Echo Plus Temperature,Sensor,alexa_media,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,sensor.usw_pro_max_16_poe_temperature,Temperature,Sensor,unifi,N/A,,Action Needed,Assign to room in HA UI,
