entity_id,friendly_name,sensor_type,platform,manufacturer,area,has_area,disabled,notes
sensor.basement_thermostat_temperature,Temperature,temperature,nest,Google Nest,Laundry Area,YES,,
sensor.ellas_iphone_battery_level,Ella’s iPhone Battery Level,battery,mobile_app,Apple,,MISSING,,
sensor.ellas_iphone_battery_state,Ella’s iPhone Battery State,battery,mobile_app,Apple,,MISSING,,
sensor.entry_room_east_wall_nightlight_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Entry Room,YES,,
sensor.entry_room_west_wall_nightlight_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Entry Room,YES,,
sensor.first_floor_thermostat_humidity,Humidity,humidity,nest,Google Nest,Entry Room,YES,,
sensor.first_floor_thermostat_temperature,Temperature,temperature,nest,Google Nest,Entry Room,YES,,
sensor.front_driveway_door_chime_type,Chime type,door,unifiprotect,Ubiquiti,Front door,YES,YES,
sensor.front_driveway_door_disk_write_rate,Disk write rate,door,unifiprotect,Ubiquiti,Front door,YES,,
sensor.front_driveway_door_last_doorbell_ring,Last doorbell ring,door,unifiprotect,Ubiquiti,Front door,YES,,
sensor.front_driveway_door_last_motion_detected,Last motion detected,motion,unifiprotect,Ubiquiti,Front door,YES,,
sensor.front_driveway_door_oldest_recording,Oldest recording,door,unifiprotect,Ubiquiti,Front door,YES,YES,
sensor.front_driveway_door_received_data,Received data,door,unifiprotect,Ubiquiti,Front door,YES,YES,
sensor.front_driveway_door_storage_used,Storage used,door,unifiprotect,Ubiquiti,Front door,YES,,
sensor.front_driveway_door_transferred_data,Transferred data,door,unifiprotect,Ubiquiti,Front door,YES,YES,
sensor.front_driveway_door_uptime,Uptime,door,unifiprotect,Ubiquiti,Front door,YES,YES,
sensor.front_driveway_door_voltage,Voltage,door,unifiprotect,Ubiquiti,Front door,YES,,
sensor.front_driveway_door_wi_fi_signal_strength,Wi-Fi signal strength,door,unifiprotect,Ubiquiti,Front door,YES,YES,
sensor.g4_bullet_last_motion_detected,Last motion detected,motion,unifiprotect,Ubiquiti,Pigeon Falls Properties,YES,YES,
sensor.g6_bullet_last_motion_detected,Last motion detected,motion,unifiprotect,Ubiquiti,,MISSING,YES,CRITICAL: NEEDS AREA
sensor.garage_north_wall_nightlight_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Garage,YES,,
sensor.garage_thermostat_humidity,Humidity,humidity,nest,Google Nest,Garage,YES,,
sensor.garage_thermostat_temperature,Temperature,temperature,nest,Google Nest,Garage,YES,,
sensor.house_average_humidity,House Average Humidity,humidity,template,,,MISSING,,
sensor.house_average_temperature,House Average Temperature,temperature,template,,,MISSING,,CRITICAL: NEEDS AREA
sensor.hue_dimmer_switch_1_battery,Battery,battery,hue,Signify Netherlands B.V.,,MISSING,,
sensor.hue_dimmer_switch_2_battery,Battery,battery,hue,Signify Netherlands B.V.,,MISSING,,
sensor.hue_dimmer_switch_3_battery,Battery,battery,hue,Signify Netherlands B.V.,,MISSING,,
sensor.hue_dimmer_switch_4_battery,Battery,battery,hue,Signify Netherlands B.V.,,MISSING,,
sensor.hue_tap_dial_switch_1_battery,Battery,battery,hue,Signify Netherlands B.V.,,MISSING,,
sensor.hue_tap_dial_switch_3_battery,Battery,battery,hue,Signify Netherlands B.V.,,MISSING,,
sensor.inovelli_vzm31_sn_internal_temperature_2,Internal temperature,temperature,zha,Inovelli,Entry Room,YES,,
sensor.inovelli_vzm31_sn_internal_temperature_3,Internal temperature,temperature,zha,Inovelli,Kitchen,YES,,
sensor.inovelli_vzm31_sn_internal_temperature_4,Internal temperature,temperature,zha,Inovelli,Kitchen,YES,,
sensor.inovelli_vzm36_internal_temperature_3,Internal temperature,temperature,zha,Inovelli,Living Room,YES,,
sensor.inovelli_vzm36_internal_temperature_4,Internal temperature,temperature,zha,Inovelli,Living Room,YES,,
sensor.john_s_phone_battery_cycle_count,John's Phone Battery cycle count,battery,mobile_app,samsung,,MISSING,YES,
sensor.john_s_phone_battery_health,John's Phone Battery health,battery,mobile_app,samsung,,MISSING,YES,
sensor.john_s_phone_battery_level,John's Phone Battery level,battery,mobile_app,samsung,,MISSING,,
sensor.john_s_phone_battery_power,John's Phone Battery power,battery,mobile_app,samsung,,MISSING,YES,
sensor.john_s_phone_battery_state,John's Phone Battery state,battery,mobile_app,samsung,,MISSING,,
sensor.john_s_phone_battery_temperature,John's Phone Battery temperature,temperature,mobile_app,samsung,,MISSING,YES,CRITICAL: NEEDS AREA
sensor.john_s_phone_car_battery,John's Phone Car battery,battery,mobile_app,samsung,,MISSING,YES,
sensor.kitchen_above_table_chandelier_inovelli_humidity,Humidity,humidity,zha,Inovelli,Kitchen,YES,,
sensor.kitchen_above_table_chandelier_inovelli_internal_temperature,Internal temperature,temperature,zha,Inovelli,Kitchen,YES,,
sensor.kitchen_above_table_chandelier_inovelli_temperature,Temperature,temperature,zha,Inovelli,Kitchen,YES,,
sensor.kitchen_ai_theta_last_motion_detected,Last motion detected,motion,unifiprotect,Ubiquiti,Kitchen,YES,YES,
sensor.kitchen_ceiling_inovelli_vzm31_sn_internal_temperature,Internal temperature,temperature,zha,Inovelli,Kitchen,YES,,
sensor.kitchen_counter_night_light_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Stairway Cubby,YES,,
sensor.kitchen_counter_nightlight_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Garage,YES,,
sensor.kitchen_lounge_inovelli_smart_dimmer_internal_temperature,Internal temperature,temperature,zha,Inovelli,Kitchen Lounge,YES,,
sensor.kitchen_lounge_light_fan_inovelli_vzm36_internal_temperature,Internal temperature,temperature,zha,Inovelli,Kitchen Lounge,YES,,
sensor.kitchen_lounge_light_fan_inovelli_vzm36_internal_temperature_2,Internal temperature,temperature,zha,Inovelli,Kitchen Lounge,YES,,
sensor.kitchen_samsung_tablet_wall_mount_battery_cycle_count,Kitchen Samsung Tablet Wall Mount Battery cycle count,battery,mobile_app,samsung,,MISSING,YES,
